,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
82392,20181001X53426,Accident,WPR19FA001,2018-10-01,"La Verne, CA",United States,034532N,1174731W,POC,BRACKETT FIELD,Fatal,Destroyed,Airplane,N7997M,beech,V35,No,,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain clearance from trees during a visual approach for landing. Contributing to the accident was the pilot's distraction during the approach.",03-12-2020
82401,20181010X84616,Accident,ANC19CA002,2018-10-03,"Gambell, AK",United States,634622N,0171445W,GAM,Gambell,Non-Fatal,Substantial,Airplane,N575Q,beech,1900,No,2.0,Turbo Prop,135,SCHD,,Hageland Aviation,0.0,0.0,0.0,9.0,IMC,,"The pilots unstabilized approach and improper landing flare, which resulted in a hard landing.",25-09-2020
82409,20181005X24701,Accident,GAA19CA004,2018-10-05,"Marathon, TX",United States,294924N,1024126W,PVT,Desert Mountain Ranch,Non-Fatal,Substantial,Airplane,N553CM,cessna,310,No,2.0,Reciprocating,091,,Personal,Cessna 205 Llc,0.0,0.0,0.0,4.0,VMC,,"The pilot's failure to see and avoid a cow on the airstrip during landing.  ",25-09-2020
82413,20181009X94044,Accident,GAA19CA011,2018-10-05,"San Antonio, TX",United States,293220N,0982849W,SAT,SAN ANTONIO INTL,Non-Fatal,Substantial,Airplane,N6674Y,beech,55,No,2.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,VMC,,"The pilot's improper takeoff trim setting and failure to properly secure his seatbelt, which resulted in a loss of airplane control. Contributing to the accident was the pilot's failure to follow the Before Takeoff checklist.",25-09-2020
82434,20181019X05417,Accident,WPR19TA009,2018-10-09,"Three Rivers, MI",United States,415740N,0853510W,HAI,THREE RIVERS MUNI DR HAINES,Non-Fatal,Substantial,Airplane,UNREG,kreling,Supercat,Yes,,Reciprocating,091,,Personal,,0.0,0.0,1.0,0.0,VMC,,"The pilot's failure to maintain the proper pitch attitude and adequate airspeed during takeoff, which resulted in an aerodynamic stall.",25-09-2020
82437,20181012X11804,Accident,DCA19CA006,2018-10-11,"San Jose, CA",United States,037200N,0121540W,,,Non-Fatal,Unknown,Airplane,N734SA,boeing,737,No,2.0,Turbo Fan,121,SCHD,,SOUTHWEST AIRLINES CO,0.0,0.0,1.0,121.0,VMC,,,
82444,20181012X53936,Accident,CEN19LA002,2018-10-12,"Midland, TX",United States,003224N,0102617W,,,Non-Fatal,Substantial,Airplane,N729TG,cirrus,SR22,No,,Reciprocating,091,,Personal,TJG Equipment LLC,0.0,2.0,0.0,0.0,VMC,,The loss of engine power due to excessive fuel flow.,25-09-2020
82448,20181013X10104,Accident,CEN19FA004,2018-10-12,"Poolville, TX",United States,325810N,0975244W,,,Fatal,Destroyed,Airplane,N221MC,piper,PA32RT,No,,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,VMC,,The pilot's loss of airplane control as a result of spatial disorientation and the exceedance of the structural capabilities of the airplane. Contributing to the accident was the pilot's limited experience in instrument conditions.,25-09-2020
82454,20181013X75622,Accident,ERA19LA012,2018-10-13,"Westhampton Beach, NY",United States,402812N,0722136W,,,Fatal,Destroyed,Airplane,N593MS,piper,PA34,No,2.0,Reciprocating,091,,Instructional,,3.0,0.0,0.0,0.0,VMC,,"The instructor's decision to conduct and continue a visual flight rules flight into instrument meteorological conditions with a known flight instrument anomaly, which resulted in spatial disorientation, causing a loss of airplane control and subsequent in-flight breakup. Contributing to the accident were the instructor's lack of recent instrument flight experience and degraded airplane control and decision-making due to hypoxia.",25-09-2020
82456,20181013X80038,Accident,ERA19TA011,2018-10-13,"Reidsville, GA",United States,032334N,0082913W,RVJ,Swinton Smith Field,Non-Fatal,Substantial,Airplane,N9469Q,beech,F33,No,,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during landing, which resulted in a runway excursion and impact with a taxiway sign.",25-09-2020
82457,20181014X11140,Accident,WPR19FA007,2018-10-13,"Payson, AZ",United States,341542N,1111838W,PAN,PAYSON,Fatal,Destroyed,Airplane,N433CS,cessna,T240,No,,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,VMC,,"The pilot's exceedance of the airplane's critical angle of attack while maneuvering for landing, which resulted in an aerodynamic stall/spin and a subsequent loss of control.
",03-12-2020
82503,20181025X55256,Accident,ERA19LA026,2018-10-25,"Atlantic Ocean, AO",United States,037386N,0725139W,,,Fatal,Destroyed,Airplane,N555PM,piper,PA31T,No,2.0,Turbo Prop,091,,Personal,Bulldog Flying Club Inc,5.0,0.0,0.0,0.0,VMC,,"An in-flight loss of control, which resulted in an impact with water, for reasons that could not be determined because the airplane was not recovered.",25-09-2020
82519,20181028X03906,Accident,ERA19LA029,2018-10-28,"Mountain Rest, SC",United States,345154N,0083926W,,,Non-Fatal,Substantial,Airplane,N653DC,diamond,DA20,No,,Reciprocating,091,,Personal,Falcon Aviation Academy Llc,0.0,0.0,0.0,2.0,VMC,,"A partial loss of engine power due to multiple discrepancies of the engine's ignition system.",25-09-2020
82528,20191120X02914,Accident,ERA19WA288,2018-10-30,"Miranda, Brazil",Brazil,,,,,Non-Fatal,Unknown,Airplane,PT-UJI,embraer,EMB-202,No,,Reciprocating,129,,,Nordica Aviacao Agricola Ltda,0.0,0.0,0.0,1.0,,,,26-09-2020
82530,20181031X03329,Accident,GAA19CA046,2018-10-31,"Gainesville, FL",United States,294124N,0821618W,GNV,GAINESVILLE RGNL,Non-Fatal,Substantial,Airplane,N5YB,beech,55,No,2.0,Reciprocating,091,,Business,,0.0,0.0,0.0,4.0,VMC,,"The pilot's inadvertent landing gear retraction during the landing roll, which resulted in a canted left main landing gear and the wing dragging during the subsequent landing following a go-around.

",25-09-2020
82558,20181108X40245,Accident,GAA19CA070,2018-11-08,"Homosassa, FL",United States,284512N,0823850W,,,Non-Fatal,Substantial,Airplane,N1ZR,cessna,T337,No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilot's inadequate preflight inspection, which resulted in fuel exhaustion and the subsequent total loss of power in both engines.

",25-09-2020
82559,20181112X55458,Accident,ERA19WA040,2018-11-08,"Nassau, Bahamas",Bahamas,002542N,0772932W,MYNN,Nassau,Fatal,Substantial,Airplane,N8383C,piper,PA23,No,2.0,Reciprocating,091,,,Global Aero Aircraft LLC,1.0,0.0,0.0,0.0,VMC,,,25-09-2020
82562,20181109X90757,Accident,ERA19FA039,2018-11-09,"Walton, NY",United States,042437N,0751252W,,,Fatal,Destroyed,Airplane,N5044J,cessna,310,No,2.0,Reciprocating,091,,Personal,KBUF Air LLC.,1.0,0.0,0.0,0.0,IMC,,"An in-flight fire of undetermined origin. Contributing to the accident were the severe icing conditions encountered during the final minutes of the flight, which led to a loss of airplane control.",25-09-2020
82564,20181113X04447,Accident,DCA19RA025,2018-11-09,"Georgetown, Guyana",Guyana,,,,,,Unknown,Airplane,N524AT,boeing,757,No,2.0,Turbo Fan,NUSC,SCHD,,Fly Jamaica Airways,0.0,0.0,0.0,0.0,,,,25-09-2020
82567,20181113X10748,Accident,WPR19LA023,2018-11-10,"Ramona, CA",United States,033227N,1165532W,RNM,RAMONA,Non-Fatal,Destroyed,Airplane,N5433T,vans,RV7A,Yes,,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,,25-09-2020
82572,20181112X51649,Accident,ERA19LA043,2018-11-12,"Myrtle Beach, SC",United States,333837N,0785510W,MYR,Myrtle Beach Intl,Non-Fatal,Substantial,Airplane,N840JC,aero commander,690,No,2.0,Turbo Prop,091,,Personal,,0.0,0.0,1.0,0.0,VMC,,,25-09-2020
82586,20181117X92748,Accident,ERA19FA049,2018-11-17,"Gainesville, GA",United States,341644N,0834930W,GVL,Lee Gilmer Memorial,Fatal,Substantial,Airplane,N8448J,lancair,LEGACY RG,Yes,,Reciprocating,091,,Instructional,,1.0,0.0,1.0,0.0,VMC,,"The pilots failure to execute a go-around when the nighttime autopilot-coupled approach became unstable, which resulted in a loss of control and subsequent impact with terrain. Also causal was the flight instructor's inadequate supervision of the pilot and his failure to perform remedial action. Contributing to the accident was the inadvertent application of pressure to the pitch control while the autopilot was engaged, which caused an out-of-trim condition that was not identified by either pilot and resulted in control difficulty when the autopilot was disengaged.",17-12-2020
82589,20181118X65853,Accident,CEN19FA029,2018-11-17,"Liberal, KS",United States,036596N,1005719W,LBL,Liberal Mid-America Regional,Fatal,Substantial,Airplane,N4817M,beech,55,No,2.0,Reciprocating,091,,Personal,Pilot,2.0,0.0,0.0,0.0,IMC,,"The pilot's improper decision to fly in an area where moderate icing conditions were forecasted in an airplane that was not certified for such conditions, and in the effort to get out of the icing conditions, his decision to fly below the minimum descent altitude for the localizer approach to the diversion airport resulting in the airplane impacting a power line and terrain. Contributing was the pilot's inadequate preflight planning.",25-09-2020
82597,20181119X83401,Accident,CEN19FA030,2018-11-18,"Harmon, ND",United States,046472N,1004550W,,,Fatal,Destroyed,Airplane,N441CX,cessna,441,No,2.0,Turbo Prop,091,,Positioning,,3.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain control of the airplane in dark night conditions that resulted in an in-flight positive overload failure of the wings and the subsequent in-flight breakup of the airplane.,03-12-2020
82621,20181130X81333,Accident,ERA19WA058,2018-11-26,"Jequitai County, Brazil",Brazil,183044S,0443318W,SNJI,Fazenda Fortaleza De Santa Air,Fatal,Destroyed,Airplane,PP-OEG,cessna,525,No,,Turbo Jet,NUSN,,,Private Owner,4.0,0.0,0.0,0.0,,,,25-09-2020
82622,20181203X05042,Incident,ENG19WA005,2018-11-26,"Addis Ababa, Ethiopia",Ethiopia,,,AAD,Addis Ababa Bole intl. Airport,,Minor,Airplane,ET-AMG,boeing,767,No,,Turbo Fan,NUSC,SCHD,,ETHIOPIAN AIRLINES S C,0.0,0.0,0.0,0.0,,,,25-09-2020
82630,20181129X43605,Accident,GAA19CA083,2018-11-28,"Rock Hill, SC",United States,034595N,0081329W,UZA,ROCK HILL/YORK CO/BRYANT FIELD,Non-Fatal,Substantial,Airplane,N909CA,smith,AEROSTAR601,No,2.0,Reciprocating,091,,Personal,P&M Truck Sale Inc,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper decision to fly with an air cast boot on his foot, which led him to rely on the passenger to apply brakes and rudder, which was performed improperly and led to a loss of directional control.

",25-09-2020
82635,20181129X70430,Accident,CEN19FA035,2018-11-29,"Marion, IN",United States,402850N,0854057W,MZZ,Marion Municipal Airport,Fatal,Destroyed,Airplane,N7751Y,piper,PA 30,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"The pilot's exceedance of the airplane's critical angle of attack following a loss of the left engine power shortly after takeoff, which resulted in an aerodynamic stall at an altitude too low for recovery. Contributing to the accident was the loss of left engine power due most likely to a fuel system issue that could not be determined based on the available evidence.",25-09-2020
82638,20181130X31617,Accident,CEN19FA036,2018-11-30,"Memphis, IN",United States,382831N,0854840W,,,Fatal,Destroyed,Airplane,N525EG,cessna,525,No,2.0,Turbo Fan,091,,Business,Estoair Llc,3.0,0.0,0.0,0.0,IMC,,"The asymmetric deployment of the left wing load alleviation system for undetermined reasons, which resulted in an in-flight upset from which the pilot was not able to recover.",22-12-2021
82639,20181130X80724,Accident,CEN19LA039,2018-11-30,"Fargo, ND",United States,465514N,0964857W,FAR,Hector International,Non-Fatal,Substantial,Airplane,N941JM,cessna,550,No,2.0,Turbo Jet,091,,Business,,0.0,9.0,0.0,2.0,IMC,,"The pilot's failure to lower the flaps during the approach and maintain sufficient airspeed while flying in instrument meteorological and icing conditions and the accumulation of ice on the wings leading edges, which resulted in the exceedance of the airplanes critical angle of attack and subsequent aerodynamic stall. Contributing to the accident was the pilots lack of proper qualification to operate the airplane under a single-pilot exemption due to his lack of total turbine time, which led to task saturation and his failure to properly configure the flaps for landing.",25-09-2020
82642,20181201X45922,Accident,ERA19FA060,2018-12-01,"Fort Lauderdale, FL",United States,261214N,0080930W,FXE,Fort Lauderdale Executive Airp,Fatal,Destroyed,Airplane,N79HP,cessna,335,No,2.0,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,VMC,,"The pilot's improper decision to fly the unairworthy airplane and his failure to feather the left propeller following a partial loss of power from the left engine after takeoff. Also causal was the partial loss of power to the left engine due to detonation.",19-11-2020
82655,20181206X45642,Incident,DCA19IA036,2018-12-06,"Burbank, CA",United States,341124N,1181727W,,,Non-Fatal,Unknown,Airplane,N752SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,0.0,117.0,,,,25-09-2020
82656,20181211X40757,Accident,WPR19WA040,2018-12-07,"Hobart, Australia",Australia,043118S,0146220E,,,Fatal,Destroyed,Airplane,VH-OBL,pilatus,BN2A-20,No,,Reciprocating,NUSC,,,unknown,1.0,0.0,0.0,0.0,,,,25-09-2020
82662,20190129X31515,Incident,ENG19WA011,2018-12-10,"Jaipur, India",India,,,,,,Unknown,Airplane,VT-ITR,airbus,A320,No,2.0,Turbo Fan,NUSC,SCHD,,Indigo,0.0,0.0,0.0,0.0,,,,26-09-2020
82679,20181220X61418,Accident,ERA19LA073,2018-12-15,"Key West, FL",United States,243322N,0814513W,EYW,KEY WEST INTL,Non-Fatal,Substantial,Airplane,N55FN,learjet,35,No,2.0,Turbo Fan,091,,Positioning,Medway Air Ambulance,0.0,0.0,0.0,4.0,,,,25-09-2020
82686,20190212X72918,Accident,CEN19WA080,2018-12-18,"Toussus-Le-Noble, France",France,482722N,0013213E,LEPN,LEPN,Non-Fatal,Destroyed,Airplane,N842CD,cirrus,SR22,No,,Reciprocating,NUSN,,,,0.0,0.0,0.0,2.0,,,,26-09-2020
82692,20181220X31531,Accident,ERA19FA071,2018-12-20,"Atlanta, GA",United States,334726N,0842942W,FTY,Fulton County Airport-Brown Fi,Fatal,Destroyed,Airplane,N188CW,cessna,560,No,2.0,Turbo Fan,091,,Personal,Chen Aircrafts Llc,4.0,0.0,0.0,0.0,IMC,,The pilot's loss of airplane control due to spatial disorientation during initial climb in instrument meteorological conditions.,25-09-2020
82707,20181226X84625,Accident,CEN19LA049,2018-12-25,"Sioux Falls, SD",United States,043307N,0096423W,KFSD,Joe Foss Field Airport,Fatal,Destroyed,Airplane,N6745V,beech,58,No,2.0,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,IMC,,"The pilot's failure to maintain adequate airspeed during the instrument approach which led to an aerodynamic stall.  ",03-12-2020
82718,20181231X45242,Accident,CEN19LA051,2018-12-31,"Beaver Island, MI",United States,045415N,0853428W,SJX,Beaver Island,Fatal,Destroyed,Airplane,N2146P,piper,PA 23,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain a positive rate of climb after takeoff which resulted in an impact with trees and terrain.  Contributing to the accident was the pilot's inability to see a visible horizon due to the dark night lighting conditions and limited ground lights in the vicinity of the airport.,25-09-2020
82719,20181231X63848,Accident,DCA19CA066,2018-12-31,"Charlotte, NC",United States,351249N,0805656W,KCLT,Charlotte Douglas,,Substantial,Airplane,N938UW,boeing,757,No,2.0,Turbo Fan,121,SCHD,,American Airlines,0.0,0.0,0.0,0.0,IMC,,an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.,26-09-2020
82720,20181231X83152,Accident,ERA19LA081,2018-12-31,"Apopka, FL",United States,284210N,0813512W,X04,Apopka Airport,Non-Fatal,Substantial,Airplane,N78JE,cessna,LC41,No,,Reciprocating,091,,Personal,Hardwood Transport Llc,0.0,0.0,0.0,1.0,VMC,,"A partial loss of engine power during a go-around for reasons that could not be determined based on the available information, which resulted in a forced landing.",26-09-2020
82730,20190129X21012,Incident,ENG19WA010,2019-01-03,"Chennai, India",India,,,,,,Unknown,Airplane,VT-ITW,airbus,A320,No,2.0,Turbo Fan,NUSC,SCHD,,Indigo,0.0,0.0,0.0,0.0,,,,26-09-2020
82747,20190112X63300,Accident,CEN19LA054,2019-01-12,"Uvalde, TX",United States,292741N,0100651W,01TX,Ox Ranch,Non-Fatal,Substantial,Airplane,N813WT,canadair,CL 600 2A12,No,2.0,Turbo Fan,091,,Business,Tw 601-C Investment Llc,0.0,0.0,0.0,9.0,VMC,,"The airplanes encounter with wind shear on short final approach to the runway, which resulted in a hard landing and fracture of the right main landing gear.
",26-09-2020
82756,20190117X24841,Accident,WPR19LA066,2019-01-17,"Ellensburg, WA",United States,465650N,1203046W,,,Fatal,Destroyed,Airplane,N14372,piper,PA23,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"The instrument rated pilots loss of control due to spatial disorientation. ",03-12-2020
82760,20190119X83245,Accident,WPR19CA067,2019-01-19,"Chino, CA",United States,335831N,0117387W,CNO,Chino Airport,Non-Fatal,Substantial,Airplane,N11852,champion,7ECA,No,,Reciprocating,091,,Personal,,0.0,2.0,0.0,0.0,VMC,,"The pilot's loss of directional control while landing, which resulted in a ground loop. ",26-09-2020
82762,20190119X93201,Accident,WPR19LA070,2019-01-19,"Roll, AZ",United States,324945N,1135926W,,,Non-Fatal,Substantial,Airplane,N57FX,hill group llc,CCX-2000,Yes,,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,,26-09-2020
82769,20190121X14953,Accident,CEN19LA056,2019-01-21,"Kidron, OH",United States,404520N,0814637W,OH22,Stoltzfus Airfield,Fatal,Substantial,Airplane,N467KS,douglas,DC3C,No,2.0,Turbo Prop,091,,Positioning,AFM Hardware Inc,2.0,0.0,0.0,0.0,VMC,,"The loss of airplane control after an engine flameout and auto-feather system interruption during the takeoff climb, which resulted in an impact with terrain.",26-09-2020
82770,20190122X30731,Accident,ANC19CA010,2019-01-21,"Chignik Lagoon, AK",United States,561832N,0158329W,KCL,CHIGNIK LAGOON,Non-Fatal,Substantial,Airplane,N995AK,piper,PA31,No,2.0,Reciprocating,091,NSCH,Other Work Use,Lake Clark Air Inc,0.0,0.0,0.0,1.0,VMC,,"The pilots selection of an unsuitable runway for landing, which resulted in a loss of control and runway excursion.",31-08-2021
82772,20190129X14158,Incident,ENG19WA009,2019-01-21,"Lucknow, India",India,,,,,,Unknown,Airplane,VT-ITQ,airbus,A320,No,2.0,Turbo Fan,NUSC,SCHD,,Indigo,0.0,0.0,0.0,0.0,,,,26-09-2020
82779,20190219X91818,Incident,ERA19WA103,2019-01-25,"Esmeraldas, Spain",Spain,005828N,0793737W,SEES,,,Unknown,Airplane,N203PR,britten norman,BN2B,No,2.0,Reciprocating,NUSN,,,Flamenco Air,0.0,0.0,0.0,0.0,,,,26-09-2020
82786,20190127X22823,Accident,CEN19LA076,2019-01-27,"Pflugerville, TX",United States,302527N,0097347W,EDC,Austin Executive,Non-Fatal,Substantial,Airplane,N39650,piper,PA32RT,No,,Reciprocating,091,,Personal,Stew Industries LLC,0.0,1.0,0.0,0.0,VMC,,"The pilot's fuel mismanagement and his improper use and placement of the fuel selector, contrary to operating procedures, which resulted in a partial loss of engine power due to fuel starvation.",26-09-2020
82799,20190130X94935,Accident,DCA19LA070,2019-01-29,"Tuscaloosa, AL",United States,331312N,0873636W,KTCL,Tuscaloosa Regional Airport,Non-Fatal,Substantial,Airplane,N720CK,boeing,727 200,No,3.0,Turbo Fan,121,NSCH,,Kalitta Charters Ii Llc,0.0,0.0,0.0,4.0,VMC,,the captain's decision to continue the landing with an unsafe gear indication.,26-09-2020
82802,20190131X52154,Accident,ANC19FA012,2019-01-30,"Kake, AK",United States,565942N,0134282W,PAFE,Kake Airport,Fatal,Destroyed,Airplane,N13LY,beech,200,No,,Turbo Prop,091,,Business,Guardian Flight LLC,3.0,0.0,0.0,0.0,VMC,,"A loss of control for reasons that could not be determined based on the available information.",28-01-2021
82811,20190204X12045,Accident,WPR19FA079,2019-02-03,"Yorba Linda, CA",United States,335219N,1174712W,,,Fatal,Destroyed,Airplane,N414RS,cessna,414,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,IMC,,"The pilots failure to maintain airplane control after entering instrument meteorological conditions (IMC) while climbing due to spatial disorientation, which resulted in the exceedance of the airplanes design stress limits and subsequent in-flight break-up. Contributing to accident was the pilot's improper decision to conduct the flight under visual flight rules and to continue the flight when conditions deteriorated.",27-05-2021
82816,20190214X91846,Incident,ENG19WA012,2019-02-06,"Lahore, Pakistan",Pakistan,,,,,,Unknown,Airplane,VNA-621,airbus,A321,No,2.0,Turbo Fan,NUSC,NSCH,,Vietnam Airlines,0.0,0.0,0.0,0.0,,,,26-09-2020
82820,20190211X75025,Accident,ERA19LA096,2019-02-08,"Atlantic Ocean, AO",UN,037387N,0725141W,,,Fatal,Destroyed,Airplane,N145GT,convair,C131,No,2.0,Reciprocating,135,NSCH,,Conquest Air Inc,1.0,0.0,1.0,0.0,VMC,,"The captain's decision to continue with the flight with a malfunctioning left engine propeller control and the subsequent loss of engine power on both engines for undetermined reasons, which resulted in ditching into the ocean. Contributing to the accident was the first officer's failure to challenge the captain's decision to continue with the flight.",26-09-2020
82825,20190210X05855,Accident,GAA19CA143,2019-02-10,"Woodruff, WI",United States,455541N,0894351W,ARV,LAKELAND/NOBLE F LEE MEMORIAL,Non-Fatal,Substantial,Airplane,N581CJ,cessna,421,No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,3.0,IMC,,"The pilot's failure to maintain to directional control during takeoff from a snow-covered runway with a right, quartering tailwind, which resulted in a runway excursion and impact with a snowbank.  ",26-09-2020
82831,20190211X15851,Accident,CEN19LA090,2019-02-11,"Richmond, IN",United States,039453N,0084518W,RID,Richmond Muni,Non-Fatal,Substantial,Airplane,N750TA,beech,400,No,2.0,Turbo Fan,091,,Business,"Stein's Aircraft Services, LLC",0.0,0.0,0.0,3.0,IMC,,"The flight crew's decision to continue an unstable approach under conditions that exceeded the airplane's landing performance capabilities, which resulted in a runway overrun and impact with terrain.",06-05-2021
82834,20190214X42337,Accident,DCA19CA081,2019-02-13,"Reno, NV",United States,382557N,0119476W,,,Non-Fatal,Minor,Airplane,N613CZ,embraer,ERJ170,No,,Turbo Fan,121,SCHD,,Compass Airlines,0.0,4.0,1.0,59.0,IMC,,"an inadvertent encounter with convective turbulence that resulted in a TCAS RA, which required an abrupt control input by the flight crew to resolve the conflict.",26-01-2021
82837,20190225X83007,Accident,ANC19TA014,2019-02-13,"Anchorage, AK",United States,061180N,1503224W,,,Non-Fatal,Unknown,Airplane,N40449,piper,PA32R,No,,Reciprocating,135,NSCH,,Sound Aviation,0.0,0.0,1.0,2.0,VMC,,"The pilots failure to ensure that the passengers lap belt was appropriately fastened for the forecast turbulent conditions, and the passengers failure to tighten her lap belt appropriately, which resulted in the passengers serious injury during an encounter with turbulence. ",15-07-2021
82841,20190215X45817,Accident,CEN19FA082,2019-02-15,"Canadian, TX",United States,355422N,1003425W,HHF,Hemphill County,Fatal,Destroyed,Airplane,N421NS,cessna,421,No,2.0,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,IMC,,"The pilot's failure to maintain control of the airplane while in instrument meteorological conditions with icing conditions present, which resulted in an aerodynamic stall and spin into terrain.",13-12-2021
82844,20190311X20635,Accident,WPR19LA094,2019-02-15,"Montague, CA",United States,414348N,1223240W,,,Non-Fatal,Substantial,Airplane,N5849C,cessna,402,No,2.0,Reciprocating,135,SCHD,,Redding Aero Enterprises Inc,0.0,0.0,0.0,1.0,,,,26-09-2020
82850,20190306X80709,Accident,DCA19CA091,2019-02-18,"Franklin, TN",United States,035545N,0865726W,,,Non-Fatal,Unknown,Airplane,N3730B,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Delta Air Lines Inc,0.0,1.0,1.0,143.0,IMC,,"an encounter with convective turbulence during descent.",03-06-2021
82854,20190221X55457,Accident,ERA19TA105,2019-02-21,"Frankfort, KY",United States,381059N,0084540W,FFT,Capital City Airport,Non-Fatal,Substantial,Airplane,N7KY,beech,76,No,2.0,Reciprocating,091,,Instructional,Nexgen Aviation LLC,0.0,1.0,0.0,1.0,VMC,,"The pilot's failure to maintain airplane control during a simulated single-engine go-around, which resulted in a collision with terrain.",26-09-2020
82857,20190222X84313,Incident,ENG19IA013,2019-02-21,"Orlando, FL",United States,282553N,0811830W,,,Non-Fatal,Unknown,Airplane,N30401,boeing,737,No,2.0,Turbo Fan,121,SCHD,,UNITED AIR LINES INC,0.0,0.0,0.0,181.0,Unk,,"A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.

 

 

 
",26-09-2020
82862,20190222X72357,Accident,WPR19FA086,2019-02-22,"Stallion Springs, CA",United States,035251N,1183549W,,,Fatal,Destroyed,Airplane,N533Q,beech,D55,No,2.0,Reciprocating,091,,Business,,3.0,0.0,0.0,0.0,Unk,,"The pilots continued visual flight into instrument meteorological conditions associated with mountain obscuration conditions, which resulted in controlled flight into rising terrain. Contributing to the accident was the pilots failure to obtain a weather briefing. ",27-05-2021
82864,20190222X83745,Accident,CEN19LA086,2019-02-22,"Colby, KS",United States,392538N,0101310W,CBK,Shalz Field Airport,Non-Fatal,Substantial,Airplane,N62069,beech,65,No,2.0,Reciprocating,091,,Positioning,Bemidji Aviation Services Inc,0.0,0.0,0.0,1.0,IMC,,"The pilots failure to properly secure the crew hatch door before takeoff, which resulted in his distraction and his failure to maintain airplane control and airspeed.",26-09-2020
82866,20190223X41250,Accident,ERA19FA106,2019-02-23,"Winter Haven, FL",United States,028322N,0814512W,GIF,Winter Haven'S Gilbert,Fatal,Substantial,Airplane,N65NE,stol aircraft corp,UC-1,No,2.0,Reciprocating,091,,Instructional,,1.0,1.0,0.0,0.0,VMC,,"A total loss of left engine power for reasons that could not be determined, and the instructor's failure to maintain airspeed while maneuvering for a forced landing, which resulted in a loss of control. Contributing to the accident was the instructor's decision to conduct a simulated engine failure at low altitude.",03-12-2020
82868,20190223X60222,Accident,DCA19MA086,2019-02-23,"Trinity Bay, TX",United States,294612N,0943936W,KIAH,George Bush Intercontinental,Fatal,Destroyed,Airplane,N1217A,boeing,767,No,2.0,Turbo Fan,121,NSCH,,Atlas Air,3.0,0.0,0.0,0.0,IMC,,"The inappropriate response by the first officer as the pilot flying to an inadvertent activation of the go-around mode, which led to his spatial disorientation and nose-down control inputs that placed the airplane in a steep descent from which the crew did not recover. Contributing to the accident was the captain's failure to adequately monitor the airplane's flightpath and assume positive control of the airplane to effectively intervene. Also contributing were systemic deficiencies in the aviation industry's selection and performance measurement practices, which failed to address the first officer's aptitude-related deficiencies and maladaptive stress response. Also contributing to the accident was the Federal Aviation Administration's failure to implement the pilot records database in a sufficiently robust and timely manner.",15-06-2021
82883,20200507X01709,Incident,ENG19WA045,2019-02-28,"Devon, United Kingdom, United Kingdom",United Kingdom,,,,,,Unknown,Airplane,G-FBEJ,embraer,ERJ190,No,2.0,Turbo Fan,NUSC,SCHD,,Flybe Ltd,0.0,0.0,0.0,0.0,,,,26-09-2020
82907,20190415X00311,Incident,ENG19WA020,2019-03-07,"Lucknow, India",India,,,,,,Unknown,Airplane,VT-WGT,airbus,A320,No,,Turbo Fan,NUSC,SCHD,,GoAir,0.0,0.0,0.0,0.0,,,,26-09-2020
